LAST SEEN   TYPE     REASON                    OBJECT                                                   MESSAGE
12m         Normal   NodeHasSufficientMemory   node/exp-e-keda-control-plane                            Node exp-e-keda-control-plane status is now: NodeHasSufficientMemory
12m         Normal   NodeHasNoDiskPressure     node/exp-e-keda-control-plane                            Node exp-e-keda-control-plane status is now: NodeHasNoDiskPressure
12m         Normal   NodeHasSufficientPID      node/exp-e-keda-control-plane                            Node exp-e-keda-control-plane status is now: NodeHasSufficientPID
12m         Normal   NodeAllocatableEnforced   node/exp-e-keda-control-plane                            Updated Node Allocatable limit across pods
12m         Normal   Starting                  node/exp-e-keda-control-plane                            Starting kubelet.
12m         Normal   NodeAllocatableEnforced   node/exp-e-keda-control-plane                            Updated Node Allocatable limit across pods
12m         Normal   NodeHasSufficientMemory   node/exp-e-keda-control-plane                            Node exp-e-keda-control-plane status is now: NodeHasSufficientMemory
12m         Normal   NodeHasNoDiskPressure     node/exp-e-keda-control-plane                            Node exp-e-keda-control-plane status is now: NodeHasNoDiskPressure
12m         Normal   NodeHasSufficientPID      node/exp-e-keda-control-plane                            Node exp-e-keda-control-plane status is now: NodeHasSufficientPID
12m         Normal   RegisteredNode            node/exp-e-keda-control-plane                            Node exp-e-keda-control-plane event: Registered Node exp-e-keda-control-plane in Controller
12m         Normal   Starting                  node/exp-e-keda-control-plane                            
12m         Normal   NodeAllocatableEnforced   node/exp-e-keda-worker                                   Updated Node Allocatable limit across pods
12m         Normal   Starting                  node/exp-e-keda-worker                                   Starting kubelet.
12m         Normal   NodeHasSufficientMemory   node/exp-e-keda-worker                                   Node exp-e-keda-worker status is now: NodeHasSufficientMemory
12m         Normal   NodeHasNoDiskPressure     node/exp-e-keda-worker                                   Node exp-e-keda-worker status is now: NodeHasNoDiskPressure
12m         Normal   NodeHasSufficientPID      node/exp-e-keda-worker                                   Node exp-e-keda-worker status is now: NodeHasSufficientPID
12m         Normal   CIDRAssignmentFailed      node/exp-e-keda-worker                                   Node exp-e-keda-worker status is now: CIDRAssignmentFailed
12m         Normal   Starting                  node/exp-e-keda-worker                                   
12m         Normal   RegisteredNode            node/exp-e-keda-worker                                   Node exp-e-keda-worker event: Registered Node exp-e-keda-worker in Controller
12m         Normal   NodeReady                 node/exp-e-keda-control-plane                            Node exp-e-keda-control-plane status is now: NodeReady
12m         Normal   NodeReady                 node/exp-e-keda-worker                                   Node exp-e-keda-worker status is now: NodeReady
9m44s       Normal   Created                   pod/websocket-server-56c97f4c7-7lfzh                     Created container: websocket-server
9m44s       Normal   Started                   pod/websocket-server-56c97f4c7-7lfzh                     Started container websocket-server
