timestamp,metric,pod,value
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-wv4j8,2769
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-drp26,2944
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-7nbc7,2929
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-hhwdh,2891
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-flphr,1828
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-xzftk,1888
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-zthwh,1871
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-bgx26,1914
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-w8nhg,2013
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-48kk5,1858
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-bl6ll,1802
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-5jcfq,1849
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-9cqrj,1912
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-ff9dx,0
2026-02-25T17:10:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-rv697,0
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-brvzn,4060
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-6p5lj,4255
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-tvfbg,4167
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-kgthz,4208
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-hjmzk,3392
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8z7k,3362
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-wrwdj,3484
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-phsrf,3502
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-52n8t,2906
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8b9r,2832
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-2qccg,2780
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-wv4j8,2769
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-drp26,2944
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-7nbc7,2929
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-hhwdh,2891
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-flphr,1828
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-xzftk,1888
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-zthwh,1871
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-bgx26,1914
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-w8nhg,2013
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-48kk5,1858
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-bl6ll,1802
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-5jcfq,1849
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-9cqrj,1912
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-ff9dx,0
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-rv697,0
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-zbxdz,71
2026-02-25T17:10:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-j7sdn,99
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-brvzn,4060
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-6p5lj,4255
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-tvfbg,4167
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-hjmzk,3392
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8z7k,3362
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-wrwdj,3484
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-phsrf,3502
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-52n8t,2906
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8b9r,2832
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-2qccg,2780
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-wv4j8,2769
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-drp26,2944
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-7nbc7,2929
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-hhwdh,2891
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-flphr,1828
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-xzftk,1888
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-zthwh,1871
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-bgx26,1914
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-w8nhg,2013
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-48kk5,1858
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-bl6ll,1802
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-5jcfq,1849
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-9cqrj,1912
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-ff9dx,0
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-rv697,0
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-zbxdz,71
2026-02-25T17:10:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-j7sdn,99
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-brvzn,4060
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-6p5lj,4255
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-tvfbg,4167
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-hjmzk,3392
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8z7k,3362
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-wrwdj,3484
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-phsrf,3502
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-52n8t,2906
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8b9r,2832
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-2qccg,2780
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-wv4j8,2769
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-drp26,2944
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-flphr,1828
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-xzftk,1888
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-zthwh,1871
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-bgx26,1914
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-bl6ll,1802
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-5jcfq,1849
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-9cqrj,1912
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-ff9dx,0
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-rv697,0
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-zbxdz,71
2026-02-25T17:10:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-j7sdn,99
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-brvzn,4060
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-6p5lj,4255
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-tvfbg,4167
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-hjmzk,3392
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8z7k,3362
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-wrwdj,3484
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-phsrf,3502
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-52n8t,2906
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8b9r,2832
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-2qccg,2780
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-wv4j8,2769
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-drp26,2944
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-flphr,1828
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-xzftk,1888
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-zthwh,1871
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-bgx26,1914
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-bl6ll,1802
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-5jcfq,1849
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-9cqrj,1912
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-ff9dx,0
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-rv697,0
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-zbxdz,71
2026-02-25T17:10:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-j7sdn,99
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-6p5lj,4255
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-tvfbg,4167
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-hjmzk,3392
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8z7k,3362
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-wrwdj,3484
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-phsrf,3502
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-52n8t,2906
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8b9r,2832
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-2qccg,2780
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-wv4j8,2769
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-drp26,2944
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-flphr,1828
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-xzftk,1888
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-zthwh,1871
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-bgx26,1914
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-5jcfq,1849
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-9cqrj,1912
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-ff9dx,0
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-rv697,0
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-zbxdz,71
2026-02-25T17:10:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-j7sdn,99
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-6p5lj,4255
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-tvfbg,4167
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8z7k,3362
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-wrwdj,3484
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-phsrf,3502
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-52n8t,2906
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8b9r,2832
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-2qccg,2780
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-wv4j8,2769
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-drp26,2944
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-flphr,1828
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-xzftk,1888
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-zthwh,1871
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-bgx26,1914
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-ff9dx,300
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-rv697,0
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-zbxdz,71
2026-02-25T17:10:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-j7sdn,99
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-6p5lj,4255
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-tvfbg,4167
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-b8z7k,3362
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-wrwdj,3484
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-phsrf,3502
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-wv4j8,2769
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-drp26,2944
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-flphr,1828
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-xzftk,1888
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-zthwh,1871
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-bgx26,1914
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-ff9dx,300
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-rv697,0
2026-02-25T17:10:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-zbxdz,71
