timestamp,metric,pod,value
2026-02-17T16:44:27+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,0
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-lwrgj,4430
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-2lhxw,4463
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-cml59,4434
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-6bdcq,4537
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-lv9hb,3627
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-zkpgq,3767
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-l8qbw,3788
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-nlkw7,3473
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-8xpkw,3393
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-fpbh6,3453
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfhmj,3382
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-krmrr,2646
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfj4v,2657
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-sng2l,2540
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-b9j9k,2605
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-xs26b,2563
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-xfnz9,2571
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-nh49q,2627
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-jkfdm,2671
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-pwbkr,2585
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,0
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,0
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,0
2026-02-17T16:44:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,0
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-lwrgj,4430
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-2lhxw,4463
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-cml59,4434
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-6bdcq,4537
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-lv9hb,3627
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-zkpgq,3767
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-l8qbw,3788
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-nlkw7,3473
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-8xpkw,3393
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-fpbh6,3453
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfhmj,3382
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-krmrr,2646
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfj4v,2657
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-sng2l,2540
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-b9j9k,2605
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-xs26b,2563
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-xfnz9,2571
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-nh49q,2627
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-pwbkr,2585
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,0
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,0
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,0
2026-02-17T16:44:38+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,0
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-2lhxw,4463
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-cml59,4434
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-6bdcq,4537
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-lv9hb,3627
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-zkpgq,3767
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-l8qbw,3788
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-nlkw7,3473
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-8xpkw,3393
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-fpbh6,3453
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfhmj,3382
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-krmrr,2646
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfj4v,2657
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-sng2l,2540
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-b9j9k,2605
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-xs26b,2563
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-xfnz9,2571
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-nh49q,2627
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-pwbkr,2585
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,0
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,0
2026-02-17T16:44:43+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,0
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-cml59,4434
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-6bdcq,4537
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-l8qbw,3788
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-nlkw7,3473
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-8xpkw,3393
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-fpbh6,3453
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfhmj,3382
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-krmrr,2646
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfj4v,2657
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-sng2l,2540
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-b9j9k,2605
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-xs26b,2563
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-xfnz9,2571
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-nh49q,2627
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-pwbkr,2585
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,0
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,0
2026-02-17T16:44:48+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,0
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-cml59,4434
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-6bdcq,4537
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-8xpkw,3393
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-fpbh6,3453
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfhmj,3382
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-krmrr,2646
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfj4v,2657
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-sng2l,2540
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-b9j9k,2605
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-xs26b,2563
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-xfnz9,2571
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-nh49q,2627
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,0
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,0
2026-02-17T16:44:53+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,0
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-6bdcq,4537
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-fpbh6,3453
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfhmj,3382
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-krmrr,2646
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfj4v,2657
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-sng2l,2540
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-b9j9k,2605
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-xs26b,2563
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-xfnz9,2571
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-nh49q,2627
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,0
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,0
2026-02-17T16:44:58+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,0
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-6bdcq,4537
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-fpbh6,3453
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfhmj,3382
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-krmrr,2646
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfj4v,2657
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-sng2l,2540
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-b9j9k,2605
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-xs26b,2563
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-xfnz9,2571
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-nh49q,2627
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,0
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,0
2026-02-17T16:45:03+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,0
2026-02-17T16:45:08+05:30,http_requests_total,cpu-app-bcc7f4b9c-6bdcq,4537
2026-02-17T16:45:08+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfhmj,3382
2026-02-17T16:45:08+05:30,http_requests_total,cpu-app-bcc7f4b9c-sng2l,2540
2026-02-17T16:45:08+05:30,http_requests_total,cpu-app-bcc7f4b9c-b9j9k,2605
2026-02-17T16:45:08+05:30,http_requests_total,cpu-app-bcc7f4b9c-xs26b,2563
2026-02-17T16:45:08+05:30,http_requests_total,cpu-app-bcc7f4b9c-xfnz9,2571
2026-02-17T16:45:08+05:30,http_requests_total,cpu-app-bcc7f4b9c-nh49q,2627
2026-02-17T16:45:08+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:45:08+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,357
2026-02-17T16:45:08+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,379
2026-02-17T16:45:08+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,0
2026-02-17T16:45:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfhmj,3382
2026-02-17T16:45:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-xs26b,2563
2026-02-17T16:45:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-xfnz9,2571
2026-02-17T16:45:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-nh49q,2627
2026-02-17T16:45:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:45:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,357
2026-02-17T16:45:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,379
2026-02-17T16:45:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,0
2026-02-17T16:45:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfhmj,3382
2026-02-17T16:45:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-xfnz9,2571
2026-02-17T16:45:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-nh49q,2627
2026-02-17T16:45:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:45:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,357
2026-02-17T16:45:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,379
2026-02-17T16:45:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,488
2026-02-17T16:45:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-mfhmj,3382
2026-02-17T16:45:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-nh49q,2627
2026-02-17T16:45:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:45:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,357
2026-02-17T16:45:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,379
2026-02-17T16:45:24+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,488
2026-02-17T16:45:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:45:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,357
2026-02-17T16:45:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,379
2026-02-17T16:45:29+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,488
2026-02-17T16:45:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:45:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,357
2026-02-17T16:45:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,379
2026-02-17T16:45:34+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,488
2026-02-17T16:45:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:45:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,357
2026-02-17T16:45:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,379
2026-02-17T16:45:39+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,488
2026-02-17T16:45:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,188
2026-02-17T16:45:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,357
2026-02-17T16:45:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,379
2026-02-17T16:45:44+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,488
2026-02-17T16:45:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,771
2026-02-17T16:45:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,357
2026-02-17T16:45:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,379
2026-02-17T16:45:49+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,488
2026-02-17T16:45:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,771
2026-02-17T16:45:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,357
2026-02-17T16:45:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,379
2026-02-17T16:45:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,488
2026-02-17T16:45:54+05:30,http_requests_total,cpu-app-bcc7f4b9c-r8s5v,65
2026-02-17T16:45:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,771
2026-02-17T16:45:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,357
2026-02-17T16:45:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,379
2026-02-17T16:45:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,488
2026-02-17T16:45:59+05:30,http_requests_total,cpu-app-bcc7f4b9c-r8s5v,65
2026-02-17T16:46:04+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,771
2026-02-17T16:46:04+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,357
2026-02-17T16:46:04+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,379
2026-02-17T16:46:04+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,488
2026-02-17T16:46:04+05:30,http_requests_total,cpu-app-bcc7f4b9c-r8s5v,65
2026-02-17T16:46:04+05:30,http_requests_total,cpu-app-bcc7f4b9c-gnb2x,8
2026-02-17T16:46:10+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,771
2026-02-17T16:46:10+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,800
2026-02-17T16:46:10+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,886
2026-02-17T16:46:10+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,488
2026-02-17T16:46:10+05:30,http_requests_total,cpu-app-bcc7f4b9c-r8s5v,65
2026-02-17T16:46:10+05:30,http_requests_total,cpu-app-bcc7f4b9c-gnb2x,8
2026-02-17T16:46:10+05:30,http_requests_total,cpu-app-bcc7f4b9c-qv4zq,244
2026-02-17T16:46:15+05:30,http_requests_total,cpu-app-bcc7f4b9c-h8885,771
2026-02-17T16:46:15+05:30,http_requests_total,cpu-app-bcc7f4b9c-gpqmv,800
2026-02-17T16:46:15+05:30,http_requests_total,cpu-app-bcc7f4b9c-flzbr,886
2026-02-17T16:46:15+05:30,http_requests_total,cpu-app-bcc7f4b9c-76mgc,488
2026-02-17T16:46:15+05:30,http_requests_total,cpu-app-bcc7f4b9c-r8s5v,65
